Disease	Type 2 diabetes	Rank_Type 2 diabetes
HG01378	0.7519	0.2332
HG01383	0.4774	0.0966
HG01384	0.8957	0.3023
HG01389	0.8541	0.2819
HG01390	1.8249	0.6386
HG01392	1.5526	0.5607
HG01393	1.7834	0.6274
HG01395	2.1583	0.7129
HG01396	2.3104	0.7376
HG01398	0.8087	0.2616
HG01402	1.5419	0.5559
HG01403	6.3962	0.9649
HG01405	1.8765	0.6514
HG01412	1.2681	0.4525
HG01413	3.2453	0.8534
HG01414	1.0592	0.3686
HG01431	3.274	0.8546
HG01432	0.2448	0.01
HG01435	4.119	0.9097
HG01437	16.8424	0.9984
HG01438	1.4409	0.5188
HG01440	0.6545	0.1741
HG01441	0.7863	0.2488
HG01443	2.2336	0.724
HG01444	1.2329	0.4349
HG01447	0.6438	0.1677
HG01455	0.6482	0.1713
HG01456	1.5693	0.5655
HG01459	1.3077	0.4716
HG01461	2.1604	0.7133
HG01462	0.2837	0.016
HG01464	6.589	0.9688
HG01465	3.0123	0.8347
HG01468	0.9974	0.3435
HG01474	1.4158	0.5108
HG01479	2.3215	0.7396
HG01485	0.8299	0.272
HG01486	0.8643	0.2851
HG01488	2.0799	0.6973
HG01489	0.8642	0.2847
HG01491	1.8302	0.641
HG01492	1.1191	0.3898
HG01494	0.487	0.1002
HG01495	2.771	0.8087
HG01497	1.2642	0.4497
HG01498	5.3833	0.9489
HG01500	1.0711	0.3734
HG01501	0.8857	0.2959
HG01503	1.1296	0.3942
HG01504	3.0991	0.8427
HG01506	1.6405	0.5891
HG01507	3.6999	0.8846
HG01509	2.9236	0.8267
HG01510	1.291	0.4629
HG01512	1.5962	0.5747
HG01513	1.2629	0.4485
HG01515	0.8123	0.2636
HG01516	0.7947	0.2528
HG01518	0.5328	0.1158
HG01519	0.9425	0.3215
HG01521	0.4179	0.0659
HG01522	0.5695	0.1306
HG01524	1.098	0.3826
HG01525	0.8506	0.2804
HG01527	4.2674	0.9141
HG01528	1.6515	0.5927
HG01530	3.1468	0.847
HG01531	4.3881	0.9213
HG01536	3.6546	0.8826
HG01537	0.3053	0.0208
HG01550	2.2524	0.7284
HG01551	2.1986	0.7204
HG01556	2.3521	0.7456
HG01565	0.3721	0.0435
HG01566	1.6258	0.5855
HG01571	0.5543	0.1262
HG01572	0.7513	0.2324
HG01577	1.0896	0.3802
HG01578	1.7343	0.6162
HG01583	1.3008	0.4657
HG01586	2.016	0.6837
HG01589	1.1921	0.4165
HG01593	1.791	0.629
HG01595	1.1938	0.4173
HG01596	0.2962	0.0192
HG01597	0.3812	0.0471
HG01598	0.4128	0.0631
HG01599	0.405	0.0591
HG01600	0.9816	0.3367
HG01602	2.2993	0.7356
HG01603	1.5058	0.5447
HG01605	3.4515	0.8694
HG01606	0.5937	0.143
HG01607	0.8179	0.2664
HG01608	1.7832	0.6266
HG01610	1.5147	0.5475
HG01612	1.1878	0.4153
HG01613	0.9046	0.3067
HG01615	0.3887	0.0527
HG01617	0.9897	0.3407
HG01618	0.8693	0.2883
HG01619	0.3121	0.0228
HG01620	1.1255	0.3914
HG01623	0.7646	0.24
HG01624	3.7822	0.8902
HG01625	1.0117	0.3506
HG01626	0.6478	0.1705
HG01628	1.3912	0.5048
HG01630	4.5019	0.9253
HG01631	1.5351	0.5531
HG01632	0.5987	0.1462
HG01668	1.8449	0.6454
HG01669	0.5802	0.1366
HG01670	0.6819	0.1889
HG01672	1.0362	0.359
HG01673	2.3394	0.7436
HG01675	1.4448	0.52
HG01676	0.4143	0.0635
HG01678	1.5239	0.5503
HG01679	0.451	0.0819
HG01680	3.4339	0.8674
HG01682	1.9377	0.6697
HG01684	0.9367	0.3167
HG01685	2.0483	0.6885
HG01686	1.9106	0.6613
HG01694	0.727	0.2185
HG01695	0.304	0.0204
HG01697	1.1043	0.385
HG01699	1.9755	0.6797
HG01700	1.3671	0.4948
HG01702	1.958	0.6749
HG01704	1.9666	0.6765
HG01705	2.1839	0.7177
HG01707	0.6251	0.1597
HG01708	0.7727	0.2448
HG01709	7.8774	0.982
HG01710	0.4793	0.0982
HG01746	7.7741	0.9812
HG01747	0.4622	0.0879
HG01756	1.3644	0.4936
HG01757	1.0474	0.3634
HG01761	1.505	0.5435
HG01762	1.8011	0.6314
HG01765	1.2908	0.4625
HG01766	2.4356	0.7616
HG01767	0.711	0.2085
HG01768	1.3656	0.4944
HG01770	1.1553	0.4038
HG01771	0.447	0.0775
HG01773	0.9706	0.3323
HG01775	1.4194	0.512
HG01776	0.6239	0.1585
HG01777	1.4188	0.5116
HG01779	1.7225	0.6146
HG01781	0.5791	0.1358
HG01783	5.8008	0.9585
HG01784	1.0503	0.3646
HG01785	0.3628	0.0399
HG01786	2.1285	0.7081
HG01789	0.3484	0.0347
HG01790	0.6721	0.1849
HG01791	9.9732	0.9896
HG01794	0.3986	0.0567
HG01795	2.2414	0.7256
HG01796	1.5132	0.5463
HG01797	1.2756	0.4573
HG01798	0.1925	0.0036
HG01799	0.6212	0.1581
HG01800	0.5168	0.109
HG01801	1.3897	0.5036
HG01802	1.2669	0.4517
HG01804	0.3383	0.0304
HG01805	0.1765	0.0016
HG01806	1.4689	0.5284
HG01807	0.6054	0.149
HG01808	0.6468	0.1701
HG01809	0.3831	0.0491
HG01810	1.0631	0.3698
HG01811	1.4509	0.5236
HG01812	1.1773	0.4109
HG01813	7.2958	0.9776
HG01815	0.8329	0.2732
HG01816	0.8942	0.3015
HG01817	1.3051	0.4704
HG01840	0.894	0.3011
HG01841	0.4947	0.1022
HG01842	1.3375	0.4832
HG01843	0.8728	0.2899
HG01844	5.6316	0.9529
HG01845	7.3566	0.9788
HG01846	2.2441	0.7268
HG01847	0.4233	0.0687
HG01848	1.5484	0.5595
HG01849	1.9674	0.6769
HG01850	1.0228	0.355
HG01851	0.5852	0.1378
HG01852	0.3684	0.0431
HG01853	3.5346	0.8746
HG01855	1.1499	0.4014
HG01857	1.17	0.4085
HG01858	1.2273	0.4329
HG01859	0.9729	0.3331
HG01860	1.7989	0.6302
HG01861	0.9693	0.3319
HG01862	0.2854	0.0164
HG01863	0.9824	0.3375
HG01864	1.5955	0.5743
HG01865	3.15	0.8482
HG01866	0.839	0.2764
HG01867	0.6135	0.1526
HG01868	6.3796	0.9645
HG01869	0.6443	0.1685
HG01870	0.2073	0.0052
HG01871	1.2595	0.4465
