Disease	Type 2 diabetes	Rank_Type 2 diabetes
NA18858	0.5548	0.1266
NA18861	8.796	0.9876
NA18864	1.8351	0.6434
NA18865	1.9248	0.6645
NA18867	1.4801	0.5312
NA18868	1.9678	0.6773
NA18870	1.9319	0.6673
NA18871	3.0198	0.8355
NA18873	1.3774	0.498
NA18874	1.338	0.484
NA18876	4.315	0.9165
NA18877	4.6149	0.9313
NA18878	1.2535	0.4449
NA18879	1.4909	0.5371
NA18881	1.7042	0.6082
NA18907	1.2283	0.4337
NA18908	0.6818	0.1881
NA18909	1.2245	0.4309
NA18910	1.187	0.4145
NA18912	1.311	0.4732
NA18915	1.1794	0.4117
NA18916	1.4923	0.5379
NA18917	3.3525	0.8602
NA18923	0.8295	0.2712
NA18924	2.5447	0.7792
NA18933	0.6684	0.1813
NA18934	4.4442	0.9229
NA18939	0.992	0.3427
NA18940	1.3857	0.5016
NA18941	1.7044	0.6086
NA18942	1.1829	0.4125
NA18943	4.5087	0.9261
NA18944	1.8203	0.6366
NA18945	1.5459	0.5575
NA18946	0.2314	0.008
NA18947	3.1595	0.8494
NA18948	1.4727	0.53
NA18949	1.0133	0.3514
NA18950	2.6848	0.7983
NA18951	0.8	0.258
NA18952	1.8487	0.6458
NA18953	0.8915	0.2991
NA18954	0.9489	0.3247
NA18956	2.4032	0.7548
NA18957	0.6153	0.1534
NA18959	4.1001	0.9089
NA18960	1.743	0.6182
NA18961	2.7641	0.8083
NA18962	1.841	0.6446
NA18963	0.6167	0.1546
NA18964	0.6962	0.1977
NA18965	0.8251	0.2688
NA18966	1.5669	0.5647
NA18967	1.538	0.5543
NA18968	0.6096	0.1522
NA18969	0.7017	0.2009
NA18970	0.5814	0.1374
NA18971	1.1173	0.3894
NA18972	0.3056	0.0212
NA18973	1.0356	0.3586
NA18974	1.2139	0.4265
NA18975	0.6946	0.1961
NA18976	0.6302	0.1617
NA18977	1.7882	0.6282
NA18978	4.9126	0.9381
NA18979	1.2729	0.4549
NA18980	5.682	0.9549
NA18981	0.6067	0.1506
NA18982	0.9653	0.3311
NA18983	0.2804	0.0152
NA18984	0.5532	0.1258
NA18985	2.5767	0.7839
NA18986	4.5199	0.9269
NA18987	0.669	0.1817
NA18988	1.2763	0.4581
NA18989	1.6255	0.5851
NA18990	0.8592	0.2839
NA18991	0.6063	0.1502
NA18992	0.7096	0.2077
NA18993	0.3657	0.0423
NA18994	0.5642	0.1278
NA18995	0.2268	0.0076
NA18997	0.7685	0.242
NA18998	0.3563	0.0375
NA18999	0.3162	0.0236
NA19000	0.4408	0.0735
NA19001	1.181	0.4121
NA19002	0.7007	0.2005
NA19003	0.9833	0.3387
NA19004	0.542	0.1202
NA19005	0.5198	0.1102
NA19006	0.4062	0.0595
NA19007	0.5767	0.1338
NA19009	1.045	0.3626
NA19010	0.8788	0.2923
NA19011	0.7862	0.2484
NA19012	1.4245	0.5132
NA19017	1.5699	0.5659
NA19019	2.2475	0.7272
NA19020	7.6699	0.98
NA19023	0.9094	0.3083
NA19024	1.3011	0.4669
NA19025	0.8891	0.2983
NA19026	3.467	0.8706
NA19027	2.5948	0.7883
NA19028	1.345	0.4864
NA19030	1.754	0.6214
NA19031	4.3077	0.9161
NA19035	3.0624	0.8391
NA19036	10.0122	0.99
NA19037	2.2427	0.7264
NA19038	1.3777	0.4984
NA19041	0.7741	0.2464
NA19042	1.4869	0.5343
NA19043	1.8821	0.6534
NA19054	0.5446	0.1226
NA19055	0.8073	0.26
NA19056	2.5787	0.7847
NA19057	2.1018	0.7017
NA19058	0.9845	0.3395
NA19059	2.4354	0.7612
NA19060	1.6983	0.607
NA19062	0.6819	0.1889
NA19063	1.4514	0.524
NA19064	1.8955	0.6581
NA19065	0.1705	4e-04
NA19066	0.4495	0.0803
NA19067	2.0842	0.6985
NA19068	1.9296	0.6665
NA19070	0.621	0.1577
NA19072	3.9283	0.9014
NA19074	1.2433	0.4409
NA19075	0.6478	0.1705
NA19076	0.3647	0.0415
NA19077	0.3366	0.03
NA19078	1.0674	0.3718
NA19079	1.2571	0.4453
NA19080	0.7063	0.2041
NA19081	1.493	0.5387
NA19082	1.3173	0.4744
NA19083	1.9165	0.6629
NA19084	0.4782	0.097
NA19085	2.8039	0.8135
NA19086	0.3537	0.0367
NA19087	1.1868	0.4141
NA19088	0.2806	0.0156
NA19089	0.6364	0.1637
NA19090	0.6882	0.1945
NA19091	1.1225	0.391
NA19092	2.0313	0.6869
NA19093	3.0256	0.8375
NA19095	1.1104	0.3882
NA19096	3.1992	0.8506
NA19098	0.6532	0.1733
NA19099	2.5419	0.7784
NA19102	4.6159	0.9317
NA19107	0.8956	0.3019
NA19108	1.113	0.389
NA19113	1.802	0.6318
NA19114	4.2059	0.9125
NA19116	4.1297	0.9105
NA19117	3.4373	0.8678
NA19118	3.4501	0.869
NA19119	2.8539	0.8187
NA19121	5.8615	0.9601
NA19129	5.2614	0.9465
NA19130	1.8827	0.6538
NA19131	1.2221	0.4297
NA19137	1.2473	0.4437
NA19138	4.4242	0.9225
NA19141	0.1978	0.0044
NA19143	1.676	0.6002
NA19144	1.4585	0.5256
NA19146	1.6397	0.5883
NA19147	1.4133	0.5092
NA19149	2.9309	0.8279
NA19152	3.6165	0.8802
NA19153	1.6397	0.5883
NA19159	1.156	0.4042
NA19160	6.7849	0.9712
NA19171	1.5702	0.5663
NA19172	2.376	0.7508
NA19175	6.1056	0.9617
NA19184	4.0414	0.9065
NA19185	1.808	0.6334
NA19189	2.7137	0.8015
NA19190	1.7484	0.6194
NA19197	4.6581	0.9329
NA19198	1.7121	0.6106
NA19200	1.4573	0.5252
NA19201	1.217	0.4273
NA19204	3.0108	0.8343
NA19206	5.7042	0.9557
NA19207	0.7472	0.2308
NA19209	1.5474	0.5587
NA19210	0.9022	0.3059
NA19213	3.7262	0.887
NA19214	3.8911	0.8982
NA19222	1.4185	0.5112
NA19223	2.6939	0.7999
NA19225	0.8345	0.2748
NA19235	1.5059	0.5451
NA19236	1.329	0.4788
NA19238	8.8207	0.988
NA19239	3.7584	0.889
NA19247	2.7829	0.8103
NA19248	1.4127	0.5088
NA19256	1.0054	0.3478
NA19257	15.0218	0.998
NA19307	1.6211	0.5835
NA19308	3.7401	0.8882
NA19309	2.068	0.6945
NA19310	2.432	0.76
NA19312	2.8642	0.8207
NA19314	1.5852	0.5707
NA19315	2.3587	0.7484
NA19316	2.5442	0.7788
NA19317	4.6145	0.9309
NA19318	2.8628	0.8203
NA19319	1.9678	0.6773
NA19320	1.4759	0.5304
NA19321	2.8061	0.8139
NA19323	1.8412	0.645
NA19324	2.7148	0.8019
NA19327	0.9786	0.3351
NA19328	0.8286	0.27
NA19331	5.1228	0.9437
NA19332	2.4781	0.7692
NA19334	10.1493	0.9904
NA19338	1.4616	0.5272
NA19346	1.3769	0.4972
NA19347	7.8209	0.9816
NA19350	2.1098	0.7041
NA19351	2.5498	0.7804
NA19355	3.5254	0.8738
NA19360	2.3106	0.738
NA19372	5.686	0.9553
NA19374	8.4023	0.9852
NA19375	1.8377	0.6438
NA19376	1.6035	0.5767
NA19377	0.8529	0.2815
NA19378	0.9417	0.3203
NA19379	6.6439	0.97
NA19380	1.664	0.5966
NA19383	2.3707	0.75
NA19384	1.0901	0.3806
NA19385	2.2782	0.7324
NA19390	1.1022	0.3842
NA19391	1.8216	0.637
NA19393	5.0319	0.9413
NA19394	0.9814	0.3363
NA19395	1.4906	0.5367
NA19397	1.9361	0.6681
NA19399	0.2794	0.0144
NA19401	2.4687	0.7664
NA19403	4.0576	0.9069
NA19404	6.5006	0.9669
NA19428	0.9389	0.3179
NA19429	2.3324	0.742
NA19430	3.009	0.8339
NA19431	1.6851	0.6038
NA19434	2.5095	0.7736
NA19435	1.3326	0.4812
NA19436	3.0216	0.8363
NA19437	2.1248	0.7069
NA19438	1.0813	0.377
NA19439	1.4031	0.5068
NA19440	0.7217	0.2149
NA19443	2.8312	0.8171
NA19445	2.3164	0.7388
NA19446	3.2037	0.851
NA19448	1.8069	0.633
NA19449	4.8905	0.9377
NA19451	0.7605	0.2372
NA19452	1.6798	0.6018
NA19454	1.3733	0.496
NA19455	0.6872	0.1933
NA19456	2.4938	0.7716
NA19457	1.3252	0.4772
NA19461	1.543	0.5563
NA19462	0.7994	0.2572
NA19463	1.1051	0.3858
NA19466	3.0235	0.8371
NA19467	2.8303	0.8167
NA19468	1.2623	0.4481
NA19471	2.9233	0.8259
NA19472	1.2051	0.4213
NA19473	2.1533	0.7125
NA19474	2.1608	0.7137
NA19475	2.6934	0.7991
NA19625	2.3977	0.7536
NA19648	0.7986	0.2564
NA19649	1.694	0.6066
NA19651	2.4549	0.7632
NA19652	0.9296	0.3151
NA19654	1.2639	0.4493
NA19655	1.1518	0.4026
NA19657	1.2462	0.4429
NA19658	1.2077	0.4237
NA19661	0.9506	0.3255
NA19663	0.3819	0.0487
NA19664	2.7294	0.8031
NA19669	1.9018	0.6593
NA19670	0.5966	0.145
NA19676	1.293	0.4637
NA19678	2.45	0.7624
NA19679	0.4432	0.0755
NA19681	1.4342	0.5156
NA19682	1.9897	0.6813
NA19684	3.3438	0.8594
NA19700	1.6235	0.5843
NA19701	1.5481	0.5591
NA19703	1.3028	0.4677
NA19704	6.7727	0.9708
NA19707	1.7458	0.6186
NA19711	3.9275	0.901
NA19712	1.3871	0.5028
NA19713	1.8296	0.6406
NA19716	14.6964	0.9968
NA19717	0.7569	0.236
NA19719	3.8114	0.8914
NA19720	3.0929	0.8419
NA19722	0.8805	0.2931
NA19723	0.6952	0.1965
NA19725	0.9415	0.3199
NA19726	0.9048	0.3075
NA19728	0.6426	0.1665
NA19729	0.6819	0.1889
NA19731	0.7568	0.2356
NA19732	1.2071	0.4225
NA19734	1.887	0.6554
NA19735	0.5936	0.1426
NA19740	2.3556	0.7472
NA19741	0.9009	0.3051
NA19746	1.1933	0.4169
NA19747	0.8818	0.2939
NA19749	8.2722	0.9844
NA19750	1.4492	0.5228
NA19752	1.6675	0.5974
NA19755	2.7999	0.8131
NA19756	2.3549	0.7468
NA19758	0.3895	0.0531
NA19759	0.2889	0.0172
NA19761	1.354	0.49
NA19762	2.3275	0.7408
NA19764	0.4751	0.0954
NA19770	0.8465	0.2788
NA19771	0.8843	0.2951
NA19773	1.2732	0.4557
NA19774	3.5562	0.8758
NA19776	2.0452	0.6881
NA19777	1.385	0.5012
NA19779	1.7665	0.623
NA19780	0.7865	0.2496
NA19782	3.8129	0.8918
NA19783	0.6973	0.1981
NA19785	1.0445	0.3618
NA19786	0.8482	0.2796
NA19788	0.7724	0.2444
NA19789	0.7471	0.2304
NA19792	0.9816	0.3367
NA19794	1.2237	0.4305
NA19795	0.9987	0.3442
NA19818	0.9538	0.3279
NA19819	1.6428	0.5907
NA19834	2.4087	0.7564
NA19835	2.407	0.7556
NA19900	3.8748	0.8966
NA19901	0.4613	0.0871
NA19904	3.4709	0.8714
NA19908	1.8325	0.6414
NA19909	0.7994	0.2572
NA19913	2.8551	0.8191
NA19914	2.7846	0.8107
NA19916	1.0351	0.3582
NA19917	2.109	0.7033
NA19920	2.2839	0.7332
NA19921	3.6892	0.8842
NA19922	1.5287	0.5511
NA19923	0.3494	0.0355
NA19982	2.6765	0.7975
NA19984	2.3382	0.7424
NA20126	4.7479	0.9345
NA20127	3.6686	0.8838
NA20274	0.401	0.0575
NA20276	1.0752	0.375
NA20278	0.692	0.1953
NA20281	0.8672	0.2879
NA20282	1.2465	0.4433
NA20287	2.2362	0.7248
NA20289	2.0997	0.7013
NA20291	0.6894	0.1949
NA20294	4.2102	0.9129
NA20296	0.6669	0.1805
NA20298	2.5896	0.7871
NA20299	0.7493	0.2316
NA20314	1.341	0.4852
NA20317	2.1447	0.7109
NA20318	4.5055	0.9257
NA20320	4.6057	0.9297
NA20321	3.864	0.8958
NA20332	1.72	0.6138
NA20334	1.5287	0.5511
NA20339	1.9476	0.6725
NA20340	1.7066	0.6098
NA20342	1.8963	0.6585
NA20346	3.9236	0.9006
NA20348	1.6159	0.5819
NA20351	0.4186	0.0667
NA20355	4.1487	0.9109
NA20356	4.0293	0.9058
NA20357	1.798	0.6298
NA20359	3.4325	0.867
NA20362	6.1313	0.9621
NA20412	2.4143	0.7576
NA20502	1.3705	0.4956
NA20503	1.1264	0.3922
NA20504	12.9203	0.9944
NA20505	2.3627	0.7492
NA20506	1.3576	0.4904
NA20507	1.6451	0.5915
NA20508	1.9363	0.6685
NA20509	0.8194	0.2668
NA20510	3.3649	0.861
NA20511	0.2879	0.0168
NA20512	1.708	0.6102
NA20513	1.4981	0.5403
NA20514	1.4034	0.5072
NA20515	2.5579	0.7812
NA20516	1.1386	0.395
NA20517	2.7423	0.8047
NA20518	11.2706	0.9928
NA20519	3.1015	0.8431
NA20520	4.5919	0.9293
NA20521	1.334	0.4824
NA20522	0.9764	0.3343
NA20524	0.3817	0.0483
NA20525	2.7863	0.8111
NA20527	1.4989	0.5411
NA20528	4.2393	0.9133
NA20529	1.5853	0.5711
NA20530	2.7991	0.8127
NA20531	1.1432	0.3974
NA20532	1.2406	0.4385
NA20533	0.7947	0.2528
NA20534	3.4952	0.8722
NA20535	1.9381	0.6701
NA20536	1.163	0.4062
NA20538	4.5249	0.9277
NA20539	5.5806	0.9513
NA20540	2.7627	0.8075
NA20541	1.2437	0.4417
NA20542	1.4677	0.528
NA20543	1.2132	0.4261
NA20544	0.6056	0.1494
NA20581	1.4476	0.5212
NA20582	1.7482	0.619
NA20585	2.4856	0.7704
NA20586	3.8756	0.897
NA20587	0.456	0.0843
NA20588	1.5229	0.5499
NA20589	1.541	0.5551
NA20752	1.2511	0.4441
NA20753	0.8872	0.2967
NA20754	1.4802	0.5315
NA20755	2.1387	0.7093
NA20756	2.9023	0.8235
NA20757	0.9639	0.3303
NA20758	0.359	0.0391
NA20759	2.0103	0.6829
NA20760	7.5015	0.9796
NA20761	0.8047	0.2592
NA20762	2.6464	0.7939
NA20763	0.7495	0.232
NA20764	0.6621	0.1785
NA20765	1.5145	0.5471
NA20766	2.4344	0.7608
NA20767	3.2537	0.8542
NA20768	1.3034	0.4685
NA20769	0.3417	0.0312
NA20770	1.4896	0.5355
NA20771	4.0374	0.9062
NA20772	2.1808	0.7165
NA20773	1.0672	0.3714
NA20774	1.2811	0.4605
NA20775	0.4633	0.0883
NA20778	1.0528	0.3654
NA20783	2.4342	0.7604
NA20785	0.7188	0.2133
NA20786	2.4712	0.7668
NA20787	1.4902	0.5363
NA20790	0.5933	0.1422
NA20792	0.7964	0.2556
NA20795	0.8439	0.2772
NA20796	3.3291	0.857
NA20797	3.1478	0.8474
NA20798	1.8885	0.6562
NA20799	3.3896	0.863
NA20800	1.1653	0.4077
NA20801	1.1885	0.4157
NA20802	1.6512	0.5919
NA20803	0.5678	0.129
NA20804	1.4623	0.5276
NA20805	0.6381	0.1641
NA20806	0.19	0.0024
NA20807	3.9373	0.9022
NA20808	1.683	0.6026
NA20809	0.3874	0.0515
NA20810	1.8769	0.6518
NA20811	0.7547	0.2344
NA20812	1.4361	0.5172
NA20813	3.2498	0.8538
NA20814	0.7079	0.2065
NA20815	1.0623	0.3694
NA20818	0.4437	0.0759
NA20819	1.2126	0.4253
NA20821	0.6245	0.1593
NA20822	0.6719	0.1841
NA20826	3.5758	0.8774
NA20827	0.3228	0.0252
NA20828	0.5715	0.1318
NA20832	1.3163	0.474
NA20845	1.4498	0.5232
NA20846	1.8138	0.6346
NA20847	0.6291	0.1613
NA20849	1.1631	0.4065
NA20850	37.6111	1
NA20851	3.0174	0.8351
NA20852	3.0322	0.8383
NA20853	1.9088	0.6609
NA20854	3.4216	0.8658
NA20856	1.0189	0.3538
NA20858	0.7274	0.2188
NA20859	0.7044	0.2021
NA20861	2.5615	0.7823
NA20862	1.1581	0.4046
NA20863	5.8879	0.9605
NA20864	1.0833	0.3778
NA20866	0.8656	0.2863
NA20867	0.5753	0.1326
NA20868	1.5602	0.5623
NA20869	0.7732	0.2452
NA20870	11.3691	0.9932
NA20872	1.0029	0.3458
NA20874	5.8136	0.9589
NA20875	0.9784	0.3347
NA20876	1.6206	0.5831
NA20877	2.0861	0.6997
NA20878	1.8882	0.6558
NA20881	10.819	0.9924
NA20882	0.7161	0.2125
NA20884	2.2484	0.7276
NA20885	0.6256	0.1601
NA20886	2.2878	0.734
NA20887	2.0608	0.6925
NA20888	3.6565	0.883
NA20889	1.664	0.5966
NA20890	10.5024	0.9912
NA20891	0.619	0.1569
NA20892	1.2894	0.4621
NA20894	5.3758	0.9485
NA20895	6.4864	0.9661
NA20896	1.3208	0.4752
NA20897	2.6182	0.7919
NA20899	1.377	0.4976
NA20900	0.3424	0.0315
NA20901	7.2863	0.9772
NA20902	4.0056	0.9042
NA20903	0.5786	0.1346
NA20904	0.4484	0.0787
NA20905	0.768	0.2416
NA20906	0.4872	0.1006
NA20908	3.3301	0.8574
NA20910	1.0113	0.3498
NA20911	10.375	0.9908
NA21086	0.5958	0.1438
NA21087	2.1507	0.7117
NA21088	2.0366	0.6877
NA21089	1.1456	0.4002
NA21090	1.4614	0.5268
NA21091	6.9504	0.9728
NA21092	0.844	0.2776
NA21093	2.5844	0.7859
NA21094	2.0763	0.6961
NA21095	0.6242	0.1589
NA21097	5.7777	0.9581
NA21098	4.0173	0.9054
NA21099	3.9472	0.903
NA21100	2.2175	0.7224
NA21101	0.8138	0.264
NA21102	3.4584	0.8698
NA21103	4.5249	0.9277
NA21104	1.4242	0.5128
NA21105	7.3699	0.9792
NA21106	2.0257	0.6857
NA21107	1.0952	0.3818
NA21108	10.7156	0.992
NA21109	5.6418	0.9537
NA21110	1.4443	0.5196
NA21111	1.7146	0.6114
NA21112	0.7429	0.2272
NA21113	0.8319	0.2724
NA21114	1.1873	0.4149
NA21115	1.448	0.5216
NA21116	2.1693	0.7149
NA21117	5.1023	0.9429
NA21118	0.9374	0.3171
NA21119	1.6883	0.6042
NA21120	1.5722	0.5675
NA21122	0.7531	0.2336
NA21123	0.7143	0.2105
NA21124	0.8821	0.2943
NA21125	3.2149	0.8518
NA21126	5.8293	0.9593
NA21127	1.5496	0.5599
NA21128	2.7393	0.8043
NA21129	0.7829	0.2476
NA21130	0.3336	0.028
NA21133	1.4472	0.5208
NA21135	3.7173	0.8866
NA21137	1.3892	0.5032
NA21141	1.5043	0.5427
NA21142	8.1263	0.9832
NA21143	1.1063	0.3862
NA21144	0.9807	0.3359
